<Phenotype>,,,,,,,,,,,,,,,,,,,,,,,,,,
taxa,factor,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,covariate,covariate,covariate,covariate,covariate
Taxa,Treatment,GOX,HPR,POX,APX,GPX,CAT,GST,SOD,DHAR,MDHAR,AO,GR,Grxs,Trxs,Prxs,Frxs,MDA,TAC,Poly,ProtOx,PC1,PC2,PC3,PC4,PC5
117268,DRO,0.93,0.369,0.489,-0.091,-0.896,1.782,-0.442,2.58,-0.932,-0.297,-0.857,-1.553,-0.932,2.101,1.389,0.063,1.5,0.859,1.571,-0.13,47.7947158813477,22.4113597869873,-33.2759284973145,10.1734638214111,11.9105958938599
117271,DRO,0.797,-0.003,0.322,0.334,-0.863,1.772,-0.535,2.451,-1.036,-0.58,-0.921,-1.569,-1.347,1.956,1.33,-0.056,1.121,0.808,2.058,-0.156,26.2314319610596,10.4421739578247,15.4508771896362,-8.43247985839844,2.98423790931702
117276,DRO,1.16,0.797,0.548,-0.101,-0.656,1.245,-0.585,2.45,-1.18,-0.668,-0.804,-1.678,-1.252,1.92,1.535,-0.053,1.406,0.62,1.826,-0.099,0.393302768468857,-43.7418403625488,-10.1293535232544,4.87773609161377,-1.85183322429657
117277,DRO,0.835,0.554,0.506,0.113,-0.644,1.992,-0.348,3.086,-1.06,-0.529,-0.836,-1.678,-0.754,2.41,1.448,0.313,1.615,0.752,1.479,0.102,28.341609954834,-2.95059537887573,-8.64367866516113,-0.835581243038177,6.16001892089844
117280,DRO,0.89,0.466,0.543,-0.128,-0.759,1.26,-0.726,2.518,-1.114,-0.757,-0.745,-1.432,-1.215,1.973,1.425,0.008,1.349,0.751,2.006,-0.167,17.4337921142578,-51.0372047424316,-24.5958709716797,-14.4678792953491,-5.50032758712769
117443,DRO,0.616,0.263,0.256,0.275,-0.676,1.836,-0.672,2.312,-0.939,-0.374,-0.987,-2,-1.26,1.958,1.31,-0.039,1.512,0.724,1.746,-0.077,14.4257392883301,1.81537735462189,44.8129463195801,-3.54339194297791,-12.5247497558594
117447,DRO,1.072,0.747,0.414,0.28,-0.706,1.827,-0.45,2.548,-1.252,-0.693,-0.979,-1.553,-1.222,2.019,1.433,-0.037,1.584,0.805,1.275,-0.057,-15.2640390396118,14.7144994735718,16.2688655853271,10.635458946228,20.6564331054688
117454,DRO,1.012,0.576,0.456,-0.116,-0.658,1.346,-0.668,2.464,-1.569,-0.16,-0.833,-1.276,-1.229,1.963,1.401,-0.019,1.65,0.695,1.864,-0.108,-3.27083802223206,6.54418706893921,-21.1907787322998,14.6374158859253,-9.04751396179199
117460,DRO,0.858,0.406,0.335,0.392,-0.719,1.961,-0.53,2.46,-1.143,-0.572,-1.018,-1.824,-1.143,2.096,1.384,0.081,1.626,0.684,2.103,0.056,-15.404580116272,9.46097469329834,25.2401847839355,8.22368431091309,23.8306331634521
