IRGC,DESIGNATION,COUNTRY,PHCON,PHDRO,FTCON,FTDRO,GYCON,GYDRO,GYLOSS
117268,IR 64-21,Philippines,98,95,99,102,632,460,27.2
117271,MINGHUI 63,China,104,99,101,104,404,361,10.6
117276,SADU CHO,South Korea,140,128,102,108,333,228,31.7
117277,SANHUANGZHAN NO 2,China,109,105,102,105,595,323,45.7
117280,ZHENSHAN 97 B,China,94,87,107,112,218,173,20.8
117443,CERE AIR::IRGC 43369-1,Indonesia,178,169,99,101,540,343,36.5
117447,CHITRAJ (DA 23)::IRGC 6208-1,Bangladesh,139,131,90,90,393,237,39.9
117454,CO 39::IRGC 51231-1,India,94,60,99,100,340,54,84.0
117460,DA 9::IRGC 5854-1,Bangladesh,151,160,92,96,344,201,41.6
117463,DE ABRIL::IRGC 50463-1,Brazil,171,164,90,91,555,387,30.3
117470,FANDRAPOTSY::IRGC 10984-1,Madagascar,160,156,87,90,503,333,33.8
117478,GIE 57::IRGC 8231-1,Vietnam,164,162,100,104,630,485,23.0
117500,JC 91::IRGC 9177-1,India,151,134,97,102,429,378,11.9
117501,JC 92::IRGC 9176-1,India,148,136,85,86,505,341,32.5
117520,LAGEADO::IRGC 50490-1,Brazil,166,163,106,109,341,318,6.9
117521,LAL AMAN::IRGC 46202-1,India,173,169,89,92,489,278,43.1
117525,MADAEL::IRGC 7722-1,Sri Lanka,161,152,96,99,516,429,17.0
117527,MAKALIOKA 34::IRGC 6087-1,Madagascar,138,130,86,87,603,321,46.8
117531,MILYANG 23::IRGC 34393-1,South Korea,108,92,99,101,598,394,34.1
117533,MTU 9::IRGC 7919-1,India,167,148,94,96,579,324,44.1
117559,PETA::IRGC 32571-1,Indonesia,160,161,104,107,574,421,26.7
117561,PIN TAWNG::IRGC 40673-1,Thailand,159,151,81,87,388,277,28.8
117563,PTB 25::IRGC 6386-1,India,168,152,98,104,383,275,28.2
117564,PTB 9::IRGC 6274-1,India,154,139,88,89,574,179,68.9
117567,RATHUWEE::IRGC 8952-1,Sri Lanka,169,156,97,100,458,386,15.8
117574,RTS 4::IRGC 8177-1,Vietnam,131,133,76,76,456,258,43.5
117587,TD 25::IRGC 9146-1,Thailand,162,165,91,92,424,307,27.6
117589,TETEP::IRGC 32576-1,Vietnam,143,143,106,109,411,367,10.9
117598,VANDANA::IRGC 117398-1,India,139,129,98,101,492,355,27.9
117622,RTS 14,Vietnam,151,135,102,104,365,293,19.9
117623,BR24,Bangladesh,129,123,97,98,494,274,44.7
117636,AI-CHIAO-HONG,China,157,132,103,108,309,270,12.7
117659,BINULAWAN,Philippines,90,86,101,101,518,364,29.9
117681,CHANG CH'SANG HSU TAO,China,132,121,93,94,431,270,37.5
117682,CHAU,Vietnam,158,148,96,99,447,283,36.7
117684,CHIEM CHANH,Vietnam,161,158,108,111,357,235,34.2
117691,CO 18,India,179,160,98,102,370,243,34.3
117745,GUAN-YIN-TSAN,China,165,155,94,97,405,209,48.4
117757,IR 36,Philippines,100,92,99,101,622,414,33.4
117758,IR 8,Philippines,83,79,94,94,488,448,8.2
117784,KIANG-CHOU-CHIU,Taiwan,150,134,93,97,461,234,49.3
117793,KUN-MIN-TSIEH-HUNAN,China,156,145,95,99,514,300,41.7
117826,O-LUEN-CHEUNG,Taiwan,147,137,102,106,262,212,19.2
117829,ORYZICA LLANOS 5,Colombia,101,125,96,98,459,316,31.2
117840,PAO TOU HUNG,China,157,150,99,103,290,158,45.6
117841,PAPPAKU,China,143,132,88,90,383,192,50.0
117848,PEH-KUH,Taiwan,143,135,95,98,456,238,47.8
117849,PEH-KUH-TSAO-TU,Taiwan,161,142,105,109,320,249,22.2
117880,SERATOES HARI,Indonesia,193,184,105,109,472,322,31.8
117881,SHAI-KUH,China,170,168,109,112,288,207,28.1
117907,TAICHUNG NATIVE 1,Taiwan,104,97,101,106,432,437,-1.0
117912,TEQING,China,119,108,103,107,599,457,23.7
117915,TKM 6,India,139,129,90,93,559,180,67.8
120855,15577::IRGC 76987-1,Iran,103,93,101,103,464,258,44.5
120856,17/79/02-005::IRGC 51080-1,Sri Lanka,168,167,96,94,497,422,15.2
120859,849::IRGC 5970-1,Madagascar,155,142,97,103,323,221,31.7
120860,AGAMI M 1::IRGC 4158-1,Egypt,179,171,94,95,578,443,23.3
120861,AI LAN KE 1110::IRGC 67034-1,China,102,97,98,99,508,368,27.5
120862,AN QING ZAO::IRGC 72577-1,China,133,117,101,104,280,163,41.9
120863,ANAYANSI::IRGC 77474-1,Colombia,82,84,102,103,299,254,14.9
120867,ARC 10818::IRGC 21079-1,India,125,128,78,76,382,163,57.4
120878,B 6144 F-MR-6::IRGC 117313-1,Indonesia,138,133,101,102,482,261,45.9
120879,BADA DHAN::IRGC 26540-1,Bangladesh,147,144,91,91,590,314,46.8
120880,BAI HE::IRGC 76437-1,China,161,138,98,104,387,206,46.7
120882,BALGALA GURMATIA::IRGC 61074-1,India,141,136,79,82,653,453,30.6
120883,BAMAWPYAN::IRGC 72458-1,Myanmar,113,103,100,102,472,378,20.1
120892,BG 301::IRGC 117315-1,Sri Lanka,147,136,93,96,479,234,51.1
120893,BG 34-11::IRGC 15782-1,Sri Lanka,95,88,99,104,299,223,25.5
120895,BIRAIN 360::IRGC 6550-1,Bangladesh,159,154,89,91,409,308,24.7
120904,BYAT KYAR::IRGC 33004-1,Myanmar,170,160,88,85,407,289,29.2
120909,CHI TOU HUANG 1::IRGC 51280-1,China,138,130,95,100,389,277,29.0
120912,CHINA 98-45-1::IRGC 1598-1,China,169,159,103,107,363,248,31.7
120913,CHORUA KARTIKSAIL::IRGC 77230-1,Bangladesh,126,125,78,76,539,401,25.6
120914,CHUA DAU::IRGC 4785-1,China,160,141,90,92,418,275,34.2
120916,CIMARRON::IRGC 116967-1,Venezuela,105,101,103,104,463,440,4.9
120924,DA 5::IRGC 5855-1,Bangladesh,172,166,87,90,416,286,31.4
120925,DA NUO (ZHAN)::IRGC 72024-1,China,144,144,102,105,338,217,35.7
120929,DENG DENG QI::IRGC 72671-1,China,169,141,101,103,332,178,46.5
120939,DJOGOLON DJOGOLON::IRGC 75577-1,Burkina Faso,98,94,99,102,429,343,20.1
120946,E 5168::IRGC 68021-1,China,88,77,100,102,425,289,32.1
120947,E ZI 124::IRGC 70215-1,China,102,98,100,103,474,361,23.9
120948,ELWEE::IRGC 15565-1,Sri Lanka,178,167,98,100,575,384,33.3
120949,EMBRAPA 6 CHUI::IRGC 116981-1,Brazil,90,87,97,95,492,347,29.4
120952,Ea houm::IRGC 12925-1,Laos,124,128,79,84,302,130,56.8
120958,GODA HEENATI::IRGC 31393-1,Sri Lanka,180,171,94,94,432,286,33.9
120959,GOPAL::IRGC 61953-1,Nepal,165,161,103,108,424,305,28.1
120964,HAO HOM::IRGC 12931-1,Laos,130,131,86,88,234,101,56.8
120970,HONG MI DONG MAO ZHAN::IRGC 68078-1,China,137,127,99,103,378,299,20.9
120972,HONG ZUI ZAO::IRGC 68090-1,China,123,102,92,94,377,202,46.5
120977,ICTA POLOCHIC::IRGC 116997-1,Guatemala,102,103,98,100,497,488,2.0
120979,INIAP 415::IRGC 117001-1,Ecuador,116,117,101,105,433,368,15.0
120981,IR 31917-45-3-2::IRGC 78132-1,Philippines,99,91,96,98,721,485,32.8
120982,IR 32453-20-3-2-2::IRGC 76331-1,Philippines,91,91,94,94,400,480,-19.9
120983,IR 43::IRGC 117005-1,Philippines,100,102,107,111,610,490,19.8
120984,IR 59469-2B-3-2::IRGC 99703-1,Philippines,135,134,96,98,459,233,49.3
120986,IR 74371-3-1-1::IRGC 117373-1,Philippines,127,115,101,103,336,300,10.7
120987,IR 77298-14-1-2::IRGC 117374-1,Philippines,110,103,102,106,496,378,23.9
120988,IR 77384-12-35-3-12-1-B::IRGC 117299-1,Philippines,113,109,96,99,464,261,43.8
120994,J 104::IRGC 117008-1,Cuba,96,90,94,93,556,492,11.5
120998,JARIYU::IRGC 53265-1,India,136,115,90,91,499,212,57.5
121001,JINLING 78-102::IRGC 88421-1,China,94,91,99,102,360,271,24.7
121010,KANNI MURUNGA::IRGC 15432-1,Sri Lanka,169,153,93,95,599,361,39.8
121011,KARAYAL::IRGC 51001-1,Sri Lanka,149,136,105,107,332,293,11.7
121015,KATI::IRGC 67838-1,Bhutan,150,138,88,90,393,182,53.8
121019,KHAO DAW TAI::IRGC 24108-1,Thailand,136,112,93,93,370,214,42.3
121020,KHAO PON::IRGC 48114-1,Thailand,158,158,83,83,369,241,34.6
121023,KINANDANG PUTI::IRGC 44513-1,Philippines,150,132,89,92,434,292,32.7
121024,KIRIMURUNGA::IRGC 15585-1,Sri Lanka,138,126,94,97,469,415,11.6
121028,KUMBI::IRGC 752-1,China,154,151,90,91,458,262,42.9
121034,LAL BAGDAR::IRGC 77272-1,Bangladesh,90,93,66,66,329,338,-2.8
121035,LALBAJAM::IRGC 49227-1,Bangladesh,145,152,85,86,551,448,18.6
121040,LIU XU::IRGC 74099-1,China,127,101,100,100,336,111,67.1
