IRGC,DESIGNATION,Treatment,Protein,GOX,HPR,POX,APX,GPX,CAT,GST,SOD,DHAR,MDHAR,AO,GR,Grxs,Trxs,Prxs,Frxs,MDA,TAC,Poly,ProtOx
117268,IR 64-21,CON,7.428,0.99,0.391,0.356,-0.128,-0.893,1.163,-0.815,2.067,-1.108,-0.469,-0.863,-1.495,-1.377,1.929,1.244,-0.04,1.141,0.706,1.942,-0.281
117271,MINGHUI 63,CON,3.71,1.01,0.333,0.606,-0.011,-0.481,1.637,-0.484,2.1,-0.86,-0.225,-0.73,-1.699,-1.066,1.976,1.595,-0.036,0.97,0.83,1.937,0.011
117276,SADU CHO,CON,9.339,0.747,0.638,0.246,-0.271,-1.051,1.35,-0.572,1.582,-0.971,-0.445,-1.06,-1.469,-1.155,1.603,1.149,-0.283,1.031,1.304,1.946,-0.387
117277,SANHUANGZHAN NO 2,CON,6.791,0.801,0.606,0.165,-0.676,-0.762,1.132,-0.529,2.096,-1.143,-0.493,-1.481,-1.678,-1.131,1.896,1.15,-0.092,1.117,0.918,1.95,-0.246
117280,ZHENSHAN 97 B,CON,7.3,0.735,0.281,0.395,-0.485,-0.726,1.435,-0.467,1.951,-1.585,-1.208,-1.167,-1.569,-1.009,1.944,1.22,0.027,1.205,0.897,1.925,-0.275
117443,CERE AIR::IRGC 43369-1,CON,5.012,0.476,0.059,0.411,-0.152,-0.613,1.415,-0.445,2.2,-0.807,-0.188,-0.866,-1.553,-1.167,2.067,1.375,0.018,0.833,0.996,2.269,-0.118
117447,CHITRAJ (DA 23)::IRGC 6208-1,CON,5.104,0.542,0.031,0.489,-0.384,-0.759,1.566,-0.21,2.398,-0.851,-0.177,-1.086,-1.42,-0.947,2.033,1.5,0.087,1.229,0.929,1.999,-0.116
117454,CO 39::IRGC 51231-1,CON,8.922,0.642,0.162,0.216,-0.372,-0.873,1.154,-0.547,1.951,-1.292,-0.752,-1.086,-1.398,-1.137,2.022,1.041,-0.064,1.027,0.848,1.824,-0.369
117460,DA 9::IRGC 5854-1,CON,5.693,0.587,0.406,0.285,-0.297,-0.73,1.457,-0.583,2.078,-1.092,-0.423,-1.004,-1.456,-1.102,2,1.256,-0.026,1.064,0.961,2.101,-0.161
117463,DE ABRIL::IRGC 50463-1,CON,6.651,0.465,0.127,0.492,-0.052,-0.627,1.5,-0.418,2.196,-0.818,-0.148,-0.775,-1.398,-1.102,1.907,1.387,-0.093,1.206,0.991,2.255,-0.231
117470,FANDRAPOTSY::IRGC 10984-1,CON,6.591,0.493,-0.007,0.373,-0.561,-1.585,1.39,-0.662,1.912,-0.936,-0.332,-1.367,-1.602,-1.215,2.01,1.327,-0.146,1.145,0.645,1.794,-0.237
117478,GIE 57::IRGC 8231-1,CON,4.796,0.449,-0.049,0.536,-0.061,-0.541,1.545,-0.358,2.305,-0.764,-0.127,-0.785,-1.523,-1.081,2.095,1.505,0.058,1.089,1.178,2.377,-0.095
117500,JC 91::IRGC 9177-1,CON,5.068,0.707,0.286,0.517,-0.231,-0.69,1.519,-0.485,2.111,-0.801,-0.131,-0.932,-1.469,-1.222,1.86,1.477,-0.107,1.161,1.272,1.935,-0.117
117501,JC 92::IRGC 9176-1,CON,5.553,0.484,0.268,0.499,-0.171,-0.638,1.586,-0.341,2.285,-0.666,-0.043,-0.879,-1.444,-1.022,1.9,1.426,-0.01,1.305,1.466,2.164,-0.154
117520,LAGEADO::IRGC 50490-1,CON,3.546,0.54,0.089,0.495,-0.159,-0.572,1.435,-0.387,2.244,-0.924,-0.333,-0.87,-1.585,-1.097,2.097,1.455,-0.041,1.288,1.061,2.795,0.031
117521,LAL AMAN::IRGC 46202-1,CON,3.99,0.655,0.177,0.535,-0.053,-0.509,1.551,-0.664,2.08,-0.688,-0.076,-0.757,-1.456,-1.137,2.049,1.508,-0.011,1.134,1.358,2.171,-0.012
