Taxa,Treatment
117268,CON
117271,CON
117276,CON
117277,CON
117280,CON
117443,CON
117447,CON
117454,CON
117460,CON
117463,CON
117470,CON
117478,CON
117500,CON
117501,CON
117520,CON
117521,CON
117525,CON
117527,CON
117531,CON
117533,CON
117559,CON
117561,CON
117563,CON
117564,CON
117567,CON
117574,CON
117587,CON
117589,CON
117598,CON
117622,CON
117623,CON
117636,CON
117659,CON
117681,CON
117682,CON
117684,CON
117691,CON
117745,CON
117757,CON
117758,CON
117784,CON
117793,CON
117826,CON
117829,CON
117840,CON
117841,CON
117848,CON
117849,CON
117880,CON
117881,CON
117907,CON
117912,CON
117915,CON
120855,CON
120856,CON
120859,CON
120860,CON
120861,CON
120862,CON
120863,CON
120867,CON
120878,CON
120879,CON
120880,CON
120882,CON
120883,CON
120892,CON
120893,CON
120895,CON
120904,CON
120909,CON
120912,CON
120913,CON
120914,CON
120916,CON
120924,CON
120925,CON
120929,CON
120939,CON
120946,CON
120947,CON
120948,CON
120949,CON
120952,CON
120958,CON
120959,CON
120964,CON
120970,CON
120972,CON
120977,CON
120979,CON
120981,CON
120982,CON
120983,CON
120984,CON
120986,CON
120987,CON
120988,CON
120994,CON
120998,CON
121001,CON
121010,CON
121011,CON
121015,CON
121019,CON
121020,CON
121023,CON
121024,CON
121028,CON
121034,CON
121035,CON
121040,CON
121041,CON
121042,CON
121043,CON
121044,CON
121045,CON
121049,CON
121050,CON
121051,CON
121052,CON
121053,CON
121059,CON
121062,CON
121063,CON
121064,CON
121065,CON
121066,CON
121070,CON
121073,CON
121074,CON
121077,CON
121079,CON
121080,CON
121083,CON
121085,CON
121087,CON
121089,CON
121091,CON
121092,CON
121093,CON
121094,CON
121095,CON
121098,CON
121099,CON
121100,CON
121101,CON
121102,CON
121104,CON
121105,CON
121110,CON
121111,CON
121118,CON
121122,CON
121124,CON
121127,CON
121130,CON
121131,CON
121136,CON
121137,CON
121139,CON
121140,CON
121141,CON
121142,CON
121144,CON
121146,CON
121147,CON
121151,CON
121152,CON
121153,CON
121156,CON
121157,CON
121158,CON
121159,CON
121161,CON
121162,CON
121163,CON
121164,CON
121165,CON
121169,CON
121172,CON
121176,CON
121225,CON
121235,CON
121237,CON
121576,CON
121642,CON
121663,CON
121689,CON
121705,CON
121708,CON
121716,CON
121717,CON
121721,CON
121725,CON
121748,CON
121750,CON
121751,CON
121752,CON
121753,CON
121760,CON
121771,CON
121774,CON
121785,CON
121799,CON
121808,CON
121811,CON
121812,CON
121821,CON
121823,CON
121827,CON
121829,CON
121830,CON
121834,CON
121835,CON
121836,CON
121839,CON
121840,CON
121846,CON
121847,CON
121848,CON
121849,CON
121850,CON
121851,CON
121852,CON
121853,CON
121854,CON
121855,CON
121856,CON
121857,CON
121858,CON
121881,CON
121889,CON
121963,CON
121965,CON
121990,CON
122000,CON
122011,CON
122025,CON
122029,CON
122076,CON
122088,CON
122089,CON
122090,CON
122091,CON
122093,CON
122094,CON
122098,CON
122099,CON
122112,CON
122140,CON
122156,CON
122159,CON
122179,CON
122181,CON
122206,CON
122232,CON
122236,CON
122239,CON
122255,CON
122258,CON
122272,CON
122284,CON
122285,CON
122286,CON
122287,CON
122288,CON
122289,CON
122290,CON
122291,CON
122298,CON
117268,DRO
117271,DRO
117276,DRO
117277,DRO
117280,DRO
117443,DRO
117447,DRO
117454,DRO
117460,DRO
117463,DRO
117470,DRO
117478,DRO
117500,DRO
117501,DRO
117520,DRO
117521,DRO
117525,DRO
117527,DRO
117531,DRO
117533,DRO
117559,DRO
117561,DRO
117563,DRO
117564,DRO
117567,DRO
117574,DRO
117587,DRO
117589,DRO
117598,DRO
117622,DRO
117623,DRO
117636,DRO
117659,DRO
117681,DRO
117682,DRO
117684,DRO
117691,DRO
117745,DRO
117757,DRO
117758,DRO
117784,DRO
117793,DRO
117826,DRO
117829,DRO
117840,DRO
117841,DRO
117848,DRO
117849,DRO
117880,DRO
117881,DRO
117907,DRO
117912,DRO
117915,DRO
120855,DRO
120856,DRO
120859,DRO
120860,DRO
120861,DRO
120862,DRO
120863,DRO
120867,DRO
120878,DRO
120879,DRO
120880,DRO
120882,DRO
120883,DRO
120892,DRO
120893,DRO
120895,DRO
120904,DRO
120909,DRO
120912,DRO
120913,DRO
120914,DRO
120916,DRO
120924,DRO
120925,DRO
120929,DRO
120939,DRO
120946,DRO
120947,DRO
120948,DRO
120949,DRO
120952,DRO
120958,DRO
120959,DRO
120964,DRO
120970,DRO
120972,DRO
120977,DRO
120979,DRO
120981,DRO
120982,DRO
120983,DRO
120984,DRO
120986,DRO
120987,DRO
120988,DRO
120994,DRO
120998,DRO
121001,DRO
121010,DRO
121011,DRO
121015,DRO
121019,DRO
121020,DRO
121023,DRO
121024,DRO
121028,DRO
121034,DRO
121035,DRO
121040,DRO
121041,DRO
121042,DRO
121043,DRO
121044,DRO
121045,DRO
121049,DRO
121050,DRO
121051,DRO
121052,DRO
121053,DRO
121059,DRO
121062,DRO
121063,DRO
121064,DRO
121065,DRO
121066,DRO
121070,DRO
121073,DRO
121074,DRO
121077,DRO
121079,DRO
121080,DRO
121083,DRO
121085,DRO
121087,DRO
121089,DRO
121091,DRO
121092,DRO
121093,DRO
121094,DRO
121095,DRO
121098,DRO
121099,DRO
121100,DRO
121101,DRO
121102,DRO
121104,DRO
121105,DRO
121110,DRO
121111,DRO
121118,DRO
121122,DRO
121124,DRO
121127,DRO
121130,DRO
121131,DRO
121136,DRO
121137,DRO
121139,DRO
121140,DRO
121141,DRO
121142,DRO
121144,DRO
121146,DRO
121147,DRO
121151,DRO
121152,DRO
121153,DRO
121156,DRO
121157,DRO
121158,DRO
121159,DRO
121161,DRO
121162,DRO
121163,DRO
121164,DRO
121165,DRO
121169,DRO
121172,DRO
121176,DRO
121225,DRO
121235,DRO
121237,DRO
121576,DRO
121642,DRO
121663,DRO
121689,DRO
121705,DRO
121708,DRO
121716,DRO
121717,DRO
121721,DRO
121725,DRO
121748,DRO
121750,DRO
121751,DRO
121752,DRO
121753,DRO
121760,DRO
121771,DRO
121774,DRO
121785,DRO
121799,DRO
121808,DRO
121811,DRO
121812,DRO
121821,DRO
